text,polarity
Robin Moore is one of the best crypto market traders and signals provider... I was able to make up my loss with her strategy in the fall and her daily signals are % sustainable. It was very easy compared to other programs I've used in the past.,neutral
maybe. But blow off top is not guaranteed. And if we are currently where you say then we would be on track to diverge immensely from the decade long trend. Totally possible but thats a huge move,neutral
I'm watching $50k-$51k as the next resistance for we can break that range with confirmation then the nd half of the bull market is starting! is a super underrated bitcoinerIve been following her tweets and tips seriously &amp; Ive been doing great,positive
" One of the most exciting things I have learned in is that when we go through a parabolic run upwards, we tend",positive
" If you believe in , dont long Bitcoin. Why risk liquidation? If you believe, you buy. If you want to speculate",negative
Please do it ....,neutral
 NEW - $500 billion German Union Investments to add exposure. One by one,positive
Hurry up there is little left! It is crazy ! Thanks Elon ! $doge,positive
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
 New airdrop ShadowGate Round (NST)Total Reward Million NSTRate Winners Random &amp; Top Distri,neutral
 $100 to person who RT's and follows in hrs,neutral
Hello! You can earn yield on your crypto. I use Celsius and get % on BTC and % on eth. You can't have this conversation without this info.,neutral
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
 new whitelist qualifications are now available. This is still a chance to get a fair . Events end in S,neutral
Hurry up there is little left! It is crazy ! Thanks Elon ! $doge,positive
"extraordinary project issued, very promising for all of us. We hope that this project will continue to progress and develop.",positive
SPECTRA LAUNCHED FEW DAYS AGODoxxed DevsLAUNCHED ON PANCAKESWAPHappy Hour - % BUY TAXfarming and stakingANDROMEDA EXCHANGE LISTING Dont miss this next x1000 Gem!! Twitter  ,positive
DONEFollowReweetLikeTag frWallet0xeC2baf8Bff72533952EEd996E3bD3E3DfB584f34,neutral
Two Legends Collide ! No Holds Barred VS Presented by,neutral
 New  Zeropay Finance Reward Up to ZEROPAY [~$10] + K ZEROPAY [~$10K] referral pool Start the airdrop b,neutral
 Good luck fighting the Bitcoin community.,negative
"As a left leaning voter, I will never vote for you. Banning Bitcoin mining would make America weaker, hurt the poor, and create MORE pollution by off-shoaringto other jurisdictions with less clean energy. Your good intentions would have the exact opposite effect you claim to want",positive
 I mean we did plan for this scenario right?,neutral
 El Salvadorians are already having their identities stolen to get the free bitcoin on their accounts.,negative
 New airdrop ShadowGate Round (NST)Total Reward Million NSTRate Winners Random &amp; Top Distri,neutral
" Attention Bitcoin &amp; Ethereum Holders, Go to to Claim your Free Lovecoin Tokens Airdrop.",neutral
"All this FUD and panic is furthering my bullish resolve. Remember the markets do the opposite of what the masses expect, if plebs bearish..price go up I still think we see k soon and k before April",positive
But I want to get rich now!!,negative
Don't miss an opportunity to yield profits and build your portfolio Join my telegram channel for free signal on binance future trades,neutral
Starbucks And McDonald's Now Accept Bitcoin In El SalvadorRelated Tickers $MCD $SBUXRead more at,positive
Bitcoin Steadies After Flash Crash,neutral
" I randomly host giveaways for my followers. The prizes range from $20 to $1000 paid in Bitcoin, Ethereum or Digital Gift Ca",neutral
" Threatening violence against me for showing uncut, live footage at the Bitcoin protests.",negative
Apocalypto,neutral
"Watch ""SEC v Coinbase Security | McDonalds Serves Bitcoin"" on YouTube -",positive
" Just walked into a McDonald's in San Salvador to see if I could pay for my breakfast with bitcoin, tbh fully expecting to be",positive
 Standard Chartered's crypto research team has made a couple of very bullish predictions about BTC and ETH.,positive
 An awesome thread covering the first day with Bitcoin as legal tender in El Salvador.,positive
 Congratulations Bitcoin,positive
"hope this project is a success, sir, and then it becomes one of best cryptos, I am enthusiastic about participating in this and also supporting it,",positive
 New airdrop Freemoon Faucet (FREE)Total Reward FREE &amp; FSN &amp; a NFTRate Distribution with,neutral
I rather hold Bitcoin which has consistently been up around % each year than paper money which looses - % purchasing power each year,positive
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
So Starbucks and McDonalds are accepting bitcoin as payment now?,positive
" El Salvador's largest department store is now accepting .Founded in , it's ushering in the future of mon",positive
And dogecoin hitting $1.35 just about the same time. Etheruem should be at $10k also.,positive
"Bitcoingives humanity the freedom to take their savings where they please without let or hindrance. A massive breakthrough for not just financial privacy but for human rightsFollowing tweets, prediction and tips I have really learnt a lot about how Bitcoin works",positive
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
There is nothing wrong with a paid group/course as long as expectations are realistic. Relying just on their trading as a source of income is not wise just liking your investment isn't the only thing making you money.,negative
"This September, all the markets will come to us. You will need Where you can pledge all kinds of assets to fund other activities without having to sell your NFT at a surprise price. nd project FCA Licensed from UK after .",neutral
Thumbs up to the team for displaying their professionalism on this GREAT PROJECT. I am certain about the success of this project.Hope it will go to Moon,neutral
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
SPECTRA LAUNCHED FEW DAYS AGODoxxed DevsLAUNCHED ON PANCAKESWAPHappy Hour - % BUY TAXfarming and stakingANDROMEDA EXCHANGE LISTING Dont miss this next x1000 Gem!! Twitter  ,neutral
" Futures funding rate is down, along with volume. The ""flash crash"" hurt some feelings...",negative
